task_id,method,n_total,n_eligible,eligible_for_rq1,eligible_fraction,status_counts,failure_type_counts
simpo-code-reproduction,no_skill,10,1,True,0.1,execution_error:9;infra_error:1,agent_setup_error:6;execution_error:1;infra_error:1;verifier_incomplete:2
simpo-code-reproduction,original_skills,10,1,True,0.1,execution_error:10,agent_setup_error:5;execution_error:1;infra_error:1;verifier_incomplete:3
simpo-code-reproduction,skillmoo,10,7,True,0.7,execution_error:8;fail:1;timeout:1,NonZeroAgentExitCodeError:7;agent_setup_error:1;agent_timeout:1;verifier_incomplete:1
spring-boot-jakarta-migration,no_skill,10,10,True,1.0,fail:10,fail:10
spring-boot-jakarta-migration,original_skills,10,10,True,1.0,fail:10,fail:10
spring-boot-jakarta-migration,skillmoo,10,10,True,1.0,fail:3;pass:7,fail:3;none:7
taxonomy-tree-merge,no_skill,10,0,False,0.0,execution_error:9;infra_error:1,agent_setup_error:8;infra_error:1;verifier_incomplete:1
taxonomy-tree-merge,original_skills,10,0,False,0.0,execution_error:10,agent_setup_error:5;verifier_incomplete:5
taxonomy-tree-merge,skillmoo,10,8,True,0.8,execution_error:8;timeout:2,NonZeroAgentExitCodeError:8;agent_timeout:2
trend-anomaly-causal-inference,no_skill,10,0,False,0.0,infra_error:10,infra_error:10
trend-anomaly-causal-inference,original_skills,10,0,False,0.0,infra_error:8;timeout:2,agent_timeout:2;infra_error:8
trend-anomaly-causal-inference,skillmoo,10,0,False,0.0,infra_error:10,docker_error:10
