task_id,method,rank,selection_tier,seed,generation_id,candidate_id,pass_rate,cost_usd,cost_usd_raw,duration_sec,status,failure_type
dialogue-parser,no_skill,3,1,0,0,0,0.85,0.4486014422,0.266522,674.625393,fail,none
dialogue-parser,no_skill,4,1,0,0,0,0.825,0.2744854422,0.092406,199.024276,fail,none
dialogue-parser,no_skill,5,2,0,0,0,0.0,0.1841294422,0.00205,7.37872,execution_error,agent_setup_error
dialogue-parser,no_skill,6,2,1,0,0,0.0,0.1841604422,0.002081,7.491375,execution_error,agent_setup_error
dialogue-parser,no_skill,7,2,4,0,0,0.0,0.1848284422,0.002749,9.896898,execution_error,agent_setup_error
dialogue-parser,no_skill,8,2,3,0,0,0.0,0.1857424422,0.003663,13.18608,execution_error,agent_setup_error
dialogue-parser,no_skill,9,2,8,0,0,0.0,0.1863764422,0.004297,15.469503,execution_error,agent_setup_error
dialogue-parser,no_skill,10,2,8,0,0,0.0,0.1863774422,0.004298,15.474374,execution_error,agent_setup_error
dialogue-parser,original_skills,1,1,5,0,0,0.9,0.3219481406,0.100892,140.250091,fail,none
dialogue-parser,original_skills,2,1,0,0,0,0.9,0.3880321406,0.166976,344.254289,fail,none
dialogue-parser,original_skills,3,1,0,0,0,0.875,0.4679251406,0.246869,470.544556,fail,none
dialogue-parser,original_skills,4,1,9,0,0,0.875,0.8191641406,0.598108,245.113535,fail,none
dialogue-parser,original_skills,5,2,1,0,0,0.0,0.2222771406,0.001221,4.394489,execution_error,agent_setup_error
dialogue-parser,original_skills,6,2,2,0,0,0.0,0.2224841406,0.001428,5.142078,execution_error,agent_setup_error
dialogue-parser,original_skills,7,2,0,0,0,0.0,0.2227661406,0.00171,6.157712,execution_error,agent_setup_error
dialogue-parser,original_skills,8,2,6,0,0,0.0,0.2248191406,0.003763,13.546038,execution_error,agent_setup_error
dialogue-parser,original_skills,9,2,8,0,0,0.0,0.2254461406,0.00439,15.803811,execution_error,agent_setup_error
dialogue-parser,original_skills,10,2,7,0,0,0.0,0.2257601406,0.004704,16.932728,execution_error,agent_setup_error
dialogue-parser,skillmoo,1,1,0,0,2,0.9,0.047509282,0.160243,441.473301,fail,none
dialogue-parser,skillmoo,2,1,0,1,3,0.9,0.314723282,0.427457,368.346661,fail,none
dialogue-parser,skillmoo,3,1,0,0,0,0.9,0.493778282,0.606512,808.90116,fail,none
dialogue-parser,skillmoo,4,1,0,2,3,0.875,0.100760282,0.213494,331.10476,fail,none
dialogue-parser,skillmoo,5,1,0,2,0,0.875,0.267366282,0.3801,403.09382,fail,none
dialogue-parser,skillmoo,6,1,0,2,2,0.875,0.327702282,0.440436,278.116164,fail,none
dialogue-parser,skillmoo,7,1,0,2,1,0.875,0.432836282,0.54557,319.273595,fail,none
dialogue-parser,skillmoo,8,1,0,0,0,0.875,0.493397282,0.606131,499.625492,fail,none
dialogue-parser,skillmoo,9,1,0,1,2,0.825,0.178186282,0.29092,550.285154,fail,none
dialogue-parser,skillmoo,10,2,0,0,1,0.0,0.01,0.007345,0.0,timeout,agent_timeout
enterprise-information-search,no_skill,1,1,0,0,0,0.8,0.4850674966,0.717491,326.822966,fail,none
enterprise-information-search,no_skill,2,1,1,0,0,0.725,0.01,0.203996,264.078276,fail,none
enterprise-information-search,no_skill,3,1,0,0,0,0.7,2.480928497,2.713352,0.0,fail,none
enterprise-information-search,no_skill,4,1,0,0,0,0.025,0.1771614966,0.409585,668.20226,timeout,agent_timeout
enterprise-information-search,no_skill,5,2,0,0,0,0.0,0.01,0.001646,0.0,timeout,agent_timeout
enterprise-information-search,no_skill,6,2,9,0,0,0.0,0.01,0.003828,13.780016,execution_error,agent_setup_error
enterprise-information-search,no_skill,7,2,2,0,0,0.0,0.01,0.00553,19.909007,execution_error,agent_setup_error
enterprise-information-search,no_skill,8,2,6,0,0,0.0,0.01,0.008459,30.452275,execution_error,agent_setup_error
enterprise-information-search,no_skill,9,2,7,0,0,0.0,0.01,0.010748,38.693837,execution_error,agent_setup_error
enterprise-information-search,no_skill,10,2,7,0,0,0.0,0.01,0.010885,39.185028,execution_error,agent_setup_error
enterprise-information-search,original_skills,1,2,1,0,0,0.0,0.4039788313,0.001807,6.50368,execution_error,agent_setup_error
enterprise-information-search,original_skills,2,2,0,0,0,0.0,0.4047208313,0.002549,9.175924,execution_error,agent_setup_error
enterprise-information-search,original_skills,3,2,2,0,0,0.0,0.4078018313,0.00563,20.266435,execution_error,agent_setup_error
enterprise-information-search,original_skills,4,2,1,0,0,0.0,0.4092238313,0.007052,25.387721,execution_error,agent_setup_error
enterprise-information-search,original_skills,5,2,0,0,0,0.0,0.4094418313,0.00727,26.172214,execution_error,agent_setup_error
enterprise-information-search,original_skills,6,2,6,0,0,0.0,0.4106148313,0.008443,30.395575,execution_error,agent_setup_error
enterprise-information-search,original_skills,7,2,7,0,0,0.0,0.4106218313,0.00845,30.421508,execution_error,agent_setup_error
enterprise-information-search,original_skills,8,2,6,0,0,0.0,0.4112678313,0.009096,32.744607,execution_error,agent_setup_error
enterprise-information-search,original_skills,9,2,8,0,0,0.0,0.4130098313,0.010838,39.017541,execution_error,agent_setup_error
enterprise-information-search,original_skills,10,2,3,0,0,0.0,0.4132298313,0.011058,39.810471,execution_error,agent_setup_error
enterprise-information-search,skillmoo,1,1,0,1,0,0.75,0.2778496,0.174394,288.989789,fail,none
enterprise-information-search,skillmoo,2,1,0,0,2,0.75,0.4300766,0.326621,828.455674,fail,none
enterprise-information-search,skillmoo,3,1,0,1,0,0.75,0.6556186,0.552163,406.877178,fail,none
enterprise-information-search,skillmoo,4,1,0,2,0,0.75,0.7770106,0.673555,534.632049,fail,none
enterprise-information-search,skillmoo,5,1,0,0,3,0.725,0.3103296,0.206874,305.662353,fail,none
enterprise-information-search,skillmoo,6,1,0,0,0,0.65,0.2733526,0.169897,365.066333,fail,none
enterprise-information-search,skillmoo,7,1,0,2,3,0.025,0.1042006,0.000745,0.0,fail,none
enterprise-information-search,skillmoo,8,1,0,1,2,0.025,0.1247786,0.021323,74.079026,execution_error,NonZeroAgentExitCodeError
enterprise-information-search,skillmoo,9,1,0,2,2,0.025,0.2087926,0.105337,376.532276,execution_error,NonZeroAgentExitCodeError
enterprise-information-search,skillmoo,10,2,0,1,1,0.0,0.1042006,0.000745,0.0,fail,verifier_incomplete
fix-build-google-auto,no_skill,1,2,7,0,0,0.0,0.1250645247,0.000467,0.0,timeout,agent_timeout
fix-build-google-auto,no_skill,2,2,2,0,0,0.0,0.1282395247,0.003642,13.112563,execution_error,infra_error
fix-build-google-auto,no_skill,3,2,0,0,0,0.0,0.1301405247,0.005543,19.95556,infra_error,infra_error
fix-build-google-auto,no_skill,4,2,8,0,0,0.0,0.1323415247,0.007744,26.346947,execution_error,verifier_incomplete
fix-build-google-auto,no_skill,5,2,3,0,0,0.0,0.1336345247,0.009037,27.985561,execution_error,verifier_incomplete
fix-build-google-auto,no_skill,6,2,6,0,0,0.0,0.1354785247,0.010881,37.490622,execution_error,verifier_incomplete
fix-build-google-auto,no_skill,7,2,7,0,0,0.0,0.1365035247,0.011906,41.180449,execution_error,verifier_incomplete
fix-build-google-auto,no_skill,8,2,6,0,0,0.0,0.1389985247,0.014401,50.01198,execution_error,verifier_incomplete
fix-build-google-auto,no_skill,9,2,8,0,0,0.0,0.1404775247,0.01588,55.334956,execution_error,verifier_incomplete
fix-build-google-auto,no_skill,10,2,0,0,0,0.0,0.1415555247,0.016958,61.047931,infra_error,infra_error
fix-build-google-auto,original_skills,1,2,3,0,0,0.0,0.1598361865,0.000862,3.102109,infra_error,infra_error
fix-build-google-auto,original_skills,2,2,3,0,0,0.0,0.1614261865,0.002452,8.825587,execution_error,agent_setup_error
fix-build-google-auto,original_skills,3,2,2,0,0,0.0,0.1626161865,0.003642,13.112981,execution_error,infra_error
fix-build-google-auto,original_skills,4,2,1,0,0,0.0,0.1746711865,0.015697,55.533372,execution_error,verifier_incomplete
fix-build-google-auto,original_skills,5,2,0,0,0,0.0,0.1807161865,0.021742,78.272722,infra_error,infra_error
fix-build-google-auto,original_skills,6,2,1,0,0,0.0,0.1980961865,0.039122,55.984778,execution_error,verifier_incomplete
fix-build-google-auto,original_skills,7,2,5,0,0,0.0,0.2099731865,0.050999,97.561113,execution_error,verifier_incomplete
fix-build-google-auto,original_skills,8,2,7,0,0,0.0,0.2118891865,0.052915,186.348864,execution_error,verifier_incomplete
fix-build-google-auto,original_skills,9,2,8,0,0,0.0,0.2124431865,0.053469,188.344543,execution_error,verifier_incomplete
fix-build-google-auto,original_skills,10,2,6,0,0,0.0,0.2136101865,0.054636,192.544484,execution_error,verifier_incomplete
fix-build-google-auto,skillmoo,1,1,0,1,0,0.8,0.273395508,0.432945,682.506601,fail,none
fix-build-google-auto,skillmoo,2,1,0,2,3,0.7,1.330305508,1.489855,859.334692,fail,none
fix-build-google-auto,skillmoo,3,1,0,1,0,0.45,0.01,0.044504,157.443175,execution_error,NonZeroAgentExitCodeError
fix-build-google-auto,skillmoo,4,1,0,1,1,0.45,0.01,0.046047,162.921932,execution_error,NonZeroAgentExitCodeError
fix-build-google-auto,skillmoo,5,1,0,0,2,0.45,0.01,0.051678,183.269823,execution_error,NonZeroAgentExitCodeError
fix-build-google-auto,skillmoo,6,1,0,1,3,0.45,0.01,0.085802,306.169649,execution_error,NonZeroAgentExitCodeError
fix-build-google-auto,skillmoo,7,1,0,1,2,0.45,0.01,0.138268,494.973787,execution_error,NonZeroAgentExitCodeError
fix-build-google-auto,skillmoo,8,1,0,2,3,0.45,0.01,0.162555,582.481725,execution_error,NonZeroAgentExitCodeError
fix-build-google-auto,skillmoo,9,2,0,0,1,0.0,0.01,0.000751,0.0,timeout,agent_timeout
fix-build-google-auto,skillmoo,10,2,0,0,0,0.0,0.01,0.000756,0.0,timeout,agent_timeout
flink-query,no_skill,1,2,0,0,0,0.0,1.000499274,0.002461,8.858126,infra_error,infra_error
flink-query,no_skill,2,2,0,0,0,0.0,1.000542274,0.002504,9.014671,infra_error,infra_error
flink-query,no_skill,3,2,2,0,0,0.0,1.001306274,0.003268,10.987174,execution_error,verifier_incomplete
flink-query,no_skill,4,2,8,0,0,0.0,1.010076274,0.012038,41.651085,execution_error,verifier_incomplete
flink-query,no_skill,5,2,7,0,0,0.0,1.012454274,0.014416,50.062134,execution_error,verifier_incomplete
flink-query,no_skill,6,2,8,0,0,0.0,1.013972274,0.015934,55.527994,execution_error,verifier_incomplete
flink-query,no_skill,7,2,0,0,0,0.0,1.014980274,0.016942,60.98946,infra_error,infra_error
flink-query,no_skill,8,2,0,0,0,0.0,1.014981274,0.016943,60.994224,infra_error,infra_error
flink-query,no_skill,9,2,3,0,0,0.0,1.031799274,0.033761,31.747841,execution_error,verifier_incomplete
flink-query,no_skill,10,2,9,0,0,0.0,1.044226274,0.046188,75.522209,execution_error,verifier_incomplete
flink-query,original_skills,1,2,2,0,0,0.0,1.407341208,0.000216,0.0,timeout,agent_timeout
flink-query,original_skills,2,2,0,0,0,0.0,1.409589208,0.002464,8.871631,infra_error,infra_error
flink-query,original_skills,3,2,0,0,0,0.0,1.409636208,0.002511,9.039316,infra_error,infra_error
flink-query,original_skills,4,2,3,0,0,0.0,1.410509208,0.003384,12.182722,execution_error,execution_error
flink-query,original_skills,5,2,9,0,0,0.0,1.410832208,0.003707,13.3462,execution_error,infra_error
flink-query,original_skills,6,2,0,0,0,0.0,1.431743208,0.024618,0.0,timeout,agent_timeout
flink-query,original_skills,7,2,9,0,0,0.0,1.432300208,0.025175,0.0,timeout,agent_timeout
flink-query,original_skills,8,2,4,0,0,0.0,1.442037208,0.034912,38.315413,execution_error,verifier_incomplete
flink-query,original_skills,9,2,3,0,0,0.0,1.443499208,0.036374,40.7426,execution_error,verifier_incomplete
flink-query,original_skills,10,2,5,0,0,0.0,1.449644208,0.042519,63.079774,execution_error,verifier_incomplete
flink-query,skillmoo,1,2,0,0,1,0.0,1.136100467,0.000738,0.0,timeout,agent_timeout
flink-query,skillmoo,2,2,0,1,0,0.0,1.136100467,0.000738,0.0,timeout,agent_timeout
flink-query,skillmoo,3,2,0,0,0,0.0,1.136108467,0.000746,0.0,timeout,agent_timeout
flink-query,skillmoo,4,2,0,0,2,0.0,1.136110467,0.000748,0.0,fail,verifier_incomplete
flink-query,skillmoo,5,2,0,2,2,0.0,1.137019467,0.001657,5.964521,execution_error,agent_setup_error
flink-query,skillmoo,6,2,0,2,0,0.0,1.137029467,0.001667,6.000478,execution_error,agent_setup_error
flink-query,skillmoo,7,2,0,2,1,0.0,1.137029467,0.001667,5.999913,execution_error,agent_setup_error
flink-query,skillmoo,8,2,0,1,2,0.0,1.137046467,0.001684,6.061681,execution_error,agent_setup_error
flink-query,skillmoo,9,2,0,2,3,0.0,1.137047467,0.001685,6.067062,execution_error,agent_setup_error
flink-query,skillmoo,10,2,0,1,3,0.0,1.137074467,0.001712,6.163413,execution_error,agent_setup_error
gh-repo-analytics,no_skill,1,1,5,0,0,0.725,0.2933759873,0.237319,151.060822,fail,none
gh-repo-analytics,no_skill,2,1,9,0,0,0.725,0.3961329873,0.340076,345.684842,fail,none
gh-repo-analytics,no_skill,3,1,0,0,0,0.725,0.4852089873,0.429152,568.030767,fail,none
gh-repo-analytics,no_skill,4,1,0,0,0,0.025,0.1590189873,0.102962,112.062982,fail,none
gh-repo-analytics,no_skill,5,2,2,0,0,0.0,0.05771598726,0.001659,0.0,timeout,agent_timeout
gh-repo-analytics,no_skill,6,2,0,0,0,0.0,0.05848698726,0.00243,8.747869,infra_error,infra_error
gh-repo-analytics,no_skill,7,2,0,0,0,0.0,0.05864698726,0.00259,9.325388,infra_error,infra_error
gh-repo-analytics,no_skill,8,2,4,0,0,0.0,0.06710998726,0.011053,39.031862,infra_error,verifier_incomplete
gh-repo-analytics,no_skill,9,2,3,0,0,0.0,0.06796198726,0.011905,38.354205,infra_error,verifier_incomplete
gh-repo-analytics,no_skill,10,2,3,0,0,0.0,0.06881798726,0.012761,40.991669,infra_error,verifier_incomplete
gh-repo-analytics,original_skills,1,1,9,0,0,0.725,0.5742642586,0.479604,252.736605,fail,none
gh-repo-analytics,original_skills,2,1,8,0,0,0.725,0.7904642586,0.695804,864.324447,fail,none
gh-repo-analytics,original_skills,3,1,0,0,0,0.025,0.1481932586,0.053533,98.287189,fail,none
gh-repo-analytics,original_skills,4,1,5,0,0,0.025,0.1562482586,0.061588,126.843068,fail,none
gh-repo-analytics,original_skills,5,1,1,0,0,0.025,0.2410862586,0.146426,68.869093,fail,none
gh-repo-analytics,original_skills,6,2,0,0,0,0.0,0.09708525858,0.002425,8.728456,infra_error,infra_error
gh-repo-analytics,original_skills,7,2,0,0,0,0.0,0.09725625858,0.002596,9.346621,infra_error,infra_error
gh-repo-analytics,original_skills,8,2,3,0,0,0.0,0.09858625858,0.003926,14.135399,execution_error,agent_setup_error
gh-repo-analytics,original_skills,9,2,2,0,0,0.0,0.09966525858,0.005005,0.0,timeout,agent_timeout
gh-repo-analytics,original_skills,10,2,7,0,0,0.0,0.1021062586,0.007446,25.273126,infra_error,verifier_incomplete
gh-repo-analytics,skillmoo,1,1,0,2,0,0.725,0.1917642,0.087622,122.531365,fail,none
gh-repo-analytics,skillmoo,2,1,0,0,0,0.725,0.6956922,0.59155,215.245395,fail,none
gh-repo-analytics,skillmoo,3,1,0,0,0,0.025,0.1148092,0.010667,36.059101,execution_error,NonZeroAgentExitCodeError
gh-repo-analytics,skillmoo,4,1,0,2,1,0.025,0.1165072,0.012365,42.171095,execution_error,NonZeroAgentExitCodeError
gh-repo-analytics,skillmoo,5,1,0,2,0,0.025,0.1165192,0.012377,42.212502,execution_error,NonZeroAgentExitCodeError
gh-repo-analytics,skillmoo,6,1,0,2,2,0.025,0.1183382,0.014196,48.760334,execution_error,NonZeroAgentExitCodeError
gh-repo-analytics,skillmoo,7,1,0,1,2,0.025,0.1184252,0.014283,49.073557,execution_error,NonZeroAgentExitCodeError
gh-repo-analytics,skillmoo,8,1,0,1,1,0.025,0.1186272,0.014485,49.803882,execution_error,NonZeroAgentExitCodeError
gh-repo-analytics,skillmoo,9,1,0,1,0,0.025,0.2222682,0.118126,51.39486,fail,none
gh-repo-analytics,skillmoo,10,2,0,1,3,0.0,0.1057742,0.001632,5.876009,execution_error,agent_setup_error
jax-computing-basics,no_skill,1,1,0,0,0,0.9534883720930232,0.475581304,0.291304,265.640258,fail,none
jax-computing-basics,no_skill,2,1,0,0,0,0.9302325581395348,0.296087304,0.11181,315.713766,fail,none
jax-computing-basics,no_skill,3,2,1,0,0,0.0,0.185048304,0.000771,2.777242,infra_error,infra_error
jax-computing-basics,no_skill,4,2,0,0,0,0.0,0.185549304,0.001272,4.580561,execution_error,agent_setup_error
jax-computing-basics,no_skill,5,2,0,0,0,0.0,0.185930304,0.001653,5.950079,execution_error,agent_setup_error
jax-computing-basics,no_skill,6,2,1,0,0,0.0,0.185952304,0.001675,6.028683,execution_error,agent_setup_error
jax-computing-basics,no_skill,7,2,1,0,0,0.0,0.186281304,0.002004,7.214602,execution_error,agent_setup_error
jax-computing-basics,no_skill,8,2,1,0,0,0.0,0.186944304,0.002667,9.60214,execution_error,infra_error
jax-computing-basics,no_skill,9,2,3,0,0,0.0,0.188138304,0.003861,13.899845,execution_error,agent_setup_error
jax-computing-basics,no_skill,10,2,2,0,0,0.0,0.189618304,0.005341,0.0,timeout,agent_timeout
jax-computing-basics,original_skills,1,2,1,0,0,0.0,0.3159084951,0.001659,5.970696,execution_error,agent_setup_error
jax-computing-basics,original_skills,2,2,1,0,0,0.0,0.3159164951,0.001667,6.001593,execution_error,agent_setup_error
jax-computing-basics,original_skills,3,2,1,0,0,0.0,0.3159174951,0.001668,6.004784,execution_error,agent_setup_error
jax-computing-basics,original_skills,4,2,0,0,0,0.0,0.3159244951,0.001675,6.029719,execution_error,agent_setup_error
jax-computing-basics,original_skills,5,2,0,0,0,0.0,0.3161094951,0.00186,6.697558,execution_error,agent_setup_error
jax-computing-basics,original_skills,6,2,4,0,0,0.0,0.3173804951,0.003131,10.493461,execution_error,verifier_incomplete
jax-computing-basics,original_skills,7,2,8,0,0,0.0,0.3177634951,0.003514,11.873134,execution_error,verifier_incomplete
jax-computing-basics,original_skills,8,2,7,0,0,0.0,0.3217274951,0.007478,25.386426,execution_error,verifier_incomplete
jax-computing-basics,original_skills,9,2,6,0,0,0.0,0.3220674951,0.007818,26.612605,execution_error,verifier_incomplete
jax-computing-basics,original_skills,10,2,6,0,0,0.0,0.3223724951,0.008123,27.708801,execution_error,verifier_incomplete
jax-computing-basics,skillmoo,1,1,0,0,0,0.9534883720930232,0.2577599,0.066667,149.505127,fail,none
jax-computing-basics,skillmoo,2,1,0,1,0,0.9534883720930232,0.4448869,0.253794,300.20132,fail,none
jax-computing-basics,skillmoo,3,1,0,2,0,0.9069767441860463,0.4872449,0.296152,292.245396,fail,none
jax-computing-basics,skillmoo,4,2,0,1,3,0.0,0.1913089,0.000216,0.0,timeout,agent_timeout
jax-computing-basics,skillmoo,5,2,0,1,2,0.0,0.1917449,0.000652,0.0,timeout,agent_timeout
jax-computing-basics,skillmoo,6,2,0,2,2,0.0,0.1927869,0.001694,6.0981,execution_error,agent_setup_error
jax-computing-basics,skillmoo,7,2,0,2,3,0.0,0.1928319,0.001739,6.258867,execution_error,agent_setup_error
jax-computing-basics,skillmoo,8,2,0,1,0,0.0,0.1930129,0.00192,6.910883,execution_error,agent_setup_error
jax-computing-basics,skillmoo,9,2,0,0,1,0.0,0.1931689,0.002076,7.472138,execution_error,agent_setup_error
jax-computing-basics,skillmoo,10,2,0,2,0,0.0,0.1931939,0.002101,7.563657,execution_error,agent_setup_error
parallel-tfidf-search,no_skill,1,1,0,0,0,0.975,1.731032289,1.09483,0.0,fail,none
parallel-tfidf-search,no_skill,2,2,9,0,0,0.0,0.6377652894,0.001563,0.0,timeout,agent_timeout
parallel-tfidf-search,no_skill,3,2,7,0,0,0.0,0.6403322894,0.00413,14.866604,execution_error,agent_setup_error
parallel-tfidf-search,no_skill,4,2,7,0,0,0.0,0.6403352894,0.004133,14.879961,execution_error,agent_setup_error
parallel-tfidf-search,no_skill,5,2,6,0,0,0.0,0.6406462894,0.004444,15.996733,execution_error,agent_setup_error
parallel-tfidf-search,no_skill,6,2,6,0,0,0.0,0.6406472894,0.004445,16.002159,execution_error,agent_setup_error
parallel-tfidf-search,no_skill,7,2,3,0,0,0.0,0.6506072894,0.014405,51.858538,execution_error,infra_error
parallel-tfidf-search,no_skill,8,2,2,0,0,0.0,0.6507012894,0.014499,51.433059,execution_error,verifier_incomplete
parallel-tfidf-search,no_skill,9,2,3,0,0,0.0,0.6511872894,0.014985,53.946731,execution_error,execution_error
parallel-tfidf-search,no_skill,10,2,0,0,0,0.0,0.6521612894,0.015959,57.450976,execution_error,infra_error
parallel-tfidf-search,original_skills,1,2,8,0,0,0.0,1.055072456,0.002612,9.401749,execution_error,agent_setup_error
parallel-tfidf-search,original_skills,2,2,9,0,0,0.0,1.055235456,0.002775,9.990126,execution_error,agent_setup_error
parallel-tfidf-search,original_skills,3,2,3,0,0,0.0,1.056050456,0.00359,12.924604,execution_error,agent_setup_error
parallel-tfidf-search,original_skills,4,2,6,0,0,0.0,1.056826456,0.004366,15.718547,execution_error,agent_setup_error
